Model,RMSE,R²
Voting Ensemble,5.446252156741955,0.9953740301960811
Stacking Ensemble,4.9650881819611605,0.9961553108150687
Optimized RF,7.4815945999475,0.9912703738131136
Optimized XGB,16.67472003038277,0.9566364922928146
