PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Month,DayOfWeek,IsWeekend,Month_Sin,Month_Cos,Day_Sin,Day_Cos,AQI_Lag1,AQI_Lag2,AQI_Lag3,AQI_Lag7,AQI_Rolling_Mean_3,AQI_Rolling_Mean_7,AQI_Rolling_Std_7,AQI_Rolling_Max_7,PM25_PM10_Ratio,NO_NO2_Ratio,Pollution_Load,Oxidant_Level,City_Encoded,State_Encoded,Region_Encoded
-0.0016952473719176765,0.0015605508358624753,0.0009375429961833388,-0.0003904587714539432,0.002533964591968949,0.0006489534000057883,-0.006242094890516497,-0.00566579667925319,-0.00021183601489097715,-0.006748010652611982,0.005998141649832988,-0.02377421187184374,-0.007307938877376364,-0.0009852771347887168,-0.005067234734004631,0.02672807118533237,12.503011405884632,-15.326402610298286,-0.0034527659385310038,0.024223741073515243,-5.923102805449673,0.040435916220922144,-0.10363320025274608,-2.833591217609554,-0.0006691153046398603,-0.00021629651742944864,2.5343850875114664e-05,0.0010687704399986923,-0.0015413249683310637,-0.01098564295468813,-0.021698806928337762
-0.0019051917260294506,-2.5543193957778816e-06,0.0008492449369227958,-0.0002767817308601076,0.00018473936698820386,0.0003023208350418765,-0.007194921704840326,-0.00524552189379063,2.7675179346099646e-05,0.0008272157441731543,-0.0008371186362089455,-0.009988205643211017,-0.0043920550453323895,0.000552022112677541,-0.002436138108295383,0.004169387595727224,4.4411093389582135,0.9300977313245198,0.011552225014906532,0.022254658128048704,-25.973806246674087,0.04708768802934653,-0.10928176763212435,-2.772617738379127,-0.0002331647452344607,-7.384873921644366e-05,-0.0002523188651063316,-0.00019764631449563347,-0.0022961094606484987,-0.00017767512068370318,0.0013621152432687345
-0.0019167061411379414,0.00044657610481090433,0.0006106428915979068,-0.0006110463628254802,0.0006898073513436569,0.00025500529967752947,-0.007219662511412059,-0.004363886828643925,-0.00010625353685668479,0.0001078955140300042,0.0007435695146233842,0.001883903969366548,0.005128643151349183,-0.0027994478354196146,0.00588201989962291,0.001323722471020286,6.607185096050083,0.7599870815000853,-0.0068513173209490035,0.021864649826120852,-33.90339135379269,0.04877650505970492,-0.14705101016198863,-3.445100569100182,-0.0005353936088366405,-0.00010565918925822655,-0.00014414070623524093,-0.0003274967323602606,0.0024495800917869927,0.0033166344335699783,0.0007360559160446232
-0.004564814052494287,0.00043117147233337055,-0.0007218383805501562,-0.022652108869052803,0.0010559067723208092,0.013624002050162759,-0.0077797458091761985,-0.005693957759292882,-0.0025018101663971475,-0.011035045505106379,0.050161517156345384,-0.002323318061370591,0.0020744708734210214,0.029145715846567465,-0.004167461380673339,0.013730520874673727,11.445967091699211,-33.255109302103314,-0.06182667367584499,0.02829978248083506,-10.158157246302157,0.029293507873751533,-0.22964455922477642,-0.15596454048939956,-0.0015270866564967148,0.005705195468978913,-0.009917114454443541,0.0006236690762606747,-0.08025086276636191,0.012560877352304359,0.022718900735650114
-0.012343691774685178,-0.025241414393232287,-0.0014496711495605797,0.002803246200678788,0.21706109864431236,0.002672366475310346,-0.010121055724175898,-0.08026374784038665,0.05798315729722018,0.1323760763428835,0.05161168608360886,-0.06938291982969219,-0.08887232016513859,-0.0286806979332023,0.053404509745650725,-0.053460131815270935,23.274306876030618,-30.03416754577714,0.1988286010121791,0.13111402227574076,169.13896888241615,0.03700598754605517,-0.06541109022078395,-0.5692845070783984,-0.013946901960541902,0.06802153441896525,0.04123403890206252,-0.015728413618281676,-0.010448339504070788,-0.23949367294090323,0.05154840912551353
-0.004073987519079324,0.002675981744258255,-0.007463874583098759,0.005299481316966611,-0.00699616436147892,0.0011255034182465005,-0.004630297852910571,-0.0030526968730199304,0.006434755470143658,0.04311350933745233,-0.03508802260746034,-0.01666932839285896,0.021219194534563692,-0.017125929394819914,-0.05230710503178991,0.010711725756994122,-20.09501683925521,-19.452148845041467,-0.001428596251453033,-0.038208221561534875,110.45291810538727,0.1313053212007146,0.6059294489411362,-1.0389251417130556,0.0003195193485737108,-0.0001293156506781152,0.0006813658444414113,0.00041376761568171226,0.006947351842200432,0.03726382311581461,-0.016560276080006927
-0.00177813643778412,-0.0007959522584085728,-0.0015271626649856994,-0.0006329796470384456,-0.0008909485732736639,-0.00027626488970162517,-0.005772562108312215,-0.0019110000398013711,0.006347109383034024,0.0036473352251165914,-0.00022783624701065694,0.001568953908847302,-0.004101347880611438,0.006183444216464716,-0.0003349505267341506,-0.00031988518607065433,6.759435683966787,0.8800678327720772,0.0071260721295175935,0.0019472994378052645,-34.846687543017495,0.03995101366493689,-0.14066142823423594,-1.7540292514285942,-0.0005360738908553465,-0.00022556294188959782,-0.0003314085247139833,-0.00044410572938239387,0.0011454963833553316,-0.009348944820162646,-0.000468933235317628
-0.0020872666505726105,7.851142955047887e-05,0.0006407613719105484,-0.0008296174457289244,0.0012651256953876788,-0.0002762361589998069,-0.007434327122794969,-0.005630460172477219,-0.0001609200119522421,-0.0041452654822761,-0.0034894440026559575,-0.009582683546683856,-0.032431778729558214,0.0024583518801400382,0.003633211323922983,-0.0009446506216936495,10.244257507692803,16.27319683133761,0.08767019031831376,0.043461685521670734,-75.3940802526991,0.05232887324373534,-0.36157036169871554,-4.580357835178717,-0.0005454752416878751,-0.0003712035621113301,-0.0002976232714178047,-0.00016551548723557505,0.0084990037213791,5.099152576642198e-06,-0.0019875685345948635
-0.003137485940093534,0.0006311379873833972,0.0012058584808829229,-0.0004891216478199999,0.00036634318180471477,0.0006329322875427932,-0.007167123194042044,-0.004919856052038606,-0.007812120937496331,0.003291560198033099,0.003936320385561835,0.0007207541908998897,0.005593275555120775,-0.006426935051756838,0.022925608308870006,-0.028427849005921105,6.33895790340995,5.621705364398813,0.02603338280942426,-0.023232217687902616,36.553515654172045,-0.006570997286842607,-0.20301200531863828,-1.5555197267461196,-0.0007088114694805323,-9.660806370503918e-05,0.00046731695836463733,0.0022744815415170253,-0.00991780569336996,-0.009190904510930725,-0.01869073403697388
0.001345764190061178,7.881049223801794e-05,0.0008356071289947343,-0.0016630987831009276,0.0010635685822718449,-0.0007654749189994485,-0.007741495769954877,-0.004306284305553329,-0.0003440537492982734,0.030190213643299147,-0.0019813627808851026,-0.021889685562549964,0.011554185229994136,0.0010428776744255785,-0.009800407157196133,-0.013741453292182244,17.627597180242514,8.579577096544547,0.18521406345225394,0.05348911534976432,-115.24642312857078,0.09203967502495244,-0.42553439436627777,-5.215525688385099,-0.0011365551119202006,-0.0002933847817821705,-6.502237116411176e-05,-0.0003187730019221331,-0.10242453981221494,-0.04168744737680586,0.012628235867482188
