Feature,Mean_ABS_SHAP
AQI_Rolling_Mean_3,72.37847028960557
AQI_Lag2,13.112606771586922
AQI_Lag1,12.057439008328902
AQI_Rolling_Max_7,3.0459547721943396
AQI_Rolling_Std_7,0.3525666416330017
AQI_Rolling_Mean_7,0.08369442458642277
AQI_Lag3,0.05986940390204031
AQI_Lag7,0.04758292179650095
City_Encoded,0.026283685734311633
State_Encoded,0.01981940952998968
Month,0.019012931539788776
Month_Sin,0.0189180153937146
Day_Sin,0.015649521352315954
Month_Cos,0.015583130318417284
DayOfWeek,0.014639501367677565
Region_Encoded,0.014551554563764044
Day_Cos,0.013255903574495766
CO,0.012721757428965174
Pollution_Load,0.009618406336989073
SO2,0.006973731202294644
IsWeekend,0.006947332269186947
PM2.5,0.0055995462985161965
NO,0.004361363862485976
NOx,0.003933939161164778
O3,0.0036348566238263544
NO2,0.003226975755813569
PM10,0.0027750775601312777
NH3,0.0024906847877273017
PM25_PM10_Ratio,0.0021002715885483627
NO_NO2_Ratio,0.00173904813797825
Oxidant_Level,0.0014988153386607222
