Datetime,Mean,Std,Min,Max
2015-01-01,,,,
2015-01-02,,,,
2015-01-03,,,,
2015-01-04,,,,
2015-01-05,,,,
2015-01-06,,,,
2015-01-07,,,,
2015-01-08,,,,
2015-01-09,,,,
2015-01-10,,,,
2015-01-11,,,,
2015-01-12,,,,
2015-01-13,,,,
2015-01-14,,,,
2015-01-15,,,,
2015-01-16,,,,
2015-01-17,,,,
2015-01-18,,,,
2015-01-19,,,,
2015-01-20,,,,
2015-01-21,,,,
2015-01-22,,,,
2015-01-23,,,,
2015-01-24,,,,
2015-01-25,,,,
2015-01-26,,,,
2015-01-27,,,,
2015-01-28,,,,
2015-01-29,,,,
2015-01-30,,,,
2015-01-31,,,,
2015-02-01,,,,
2015-02-02,,,,
2015-02-03,,,,
2015-02-04,,,,
2015-02-05,,,,
2015-02-06,,,,
2015-02-07,,,,
2015-02-08,,,,
2015-02-09,,,,
2015-02-10,,,,
2015-02-11,,,,
2015-02-12,,,,
2015-02-13,,,,
2015-02-14,,,,
2015-02-15,,,,
2015-02-16,,,,
2015-02-17,,,,
2015-02-18,,,,
2015-02-19,,,,
2015-02-20,,,,
2015-02-21,,,,
2015-02-22,,,,
2015-02-23,,,,
2015-02-24,,,,
2015-02-25,,,,
2015-02-26,,,,
2015-02-27,,,,
2015-02-28,,,,
2015-03-01,,,,
2015-03-02,,,,
2015-03-03,,,,
2015-03-04,,,,
2015-03-05,,,,
2015-03-06,,,,
2015-03-07,,,,
2015-03-08,,,,
2015-03-09,,,,
2015-03-10,,,,
2015-03-11,,,,
2015-03-12,,,,
2015-03-13,,,,
2015-03-14,,,,
2015-03-15,,,,
2015-03-16,,,,
2015-03-17,,,,
2015-03-18,,,,
2015-03-19,,,,
2015-03-20,,,,
2015-03-21,,,,
2015-03-22,,,,
2015-03-23,,,,
2015-03-24,,,,
2015-03-25,,,,
2015-03-26,,,,
2015-03-27,,,,
2015-03-28,,,,
2015-03-29,,,,
2015-03-30,,,,
2015-03-31,215.5592508490094,40.08273258567359,161.4739867778097,348.77010635240015
2015-04-01,215.48585300160755,40.08539739569498,161.4739867778097,348.77010635240015
2015-04-02,215.1512862359341,40.22010976772638,161.4739867778097,348.77010635240015
2015-04-03,215.40058190412313,39.95911483453523,161.4739867778097,348.77010635240015
2015-04-04,215.20313627798535,40.13825713301447,161.4739867778097,348.77010635240015
2015-04-05,215.19457954073647,40.14396353679139,161.4739867778097,348.77010635240015
2015-04-06,215.21788444955448,40.12867023497222,161.4739867778097,348.77010635240015
2015-04-07,215.11420523138833,40.19842086132565,161.4739867778097,348.77010635240015
2015-04-08,215.20100220369838,40.16815877800942,161.4739867778097,348.77010635240015
2015-04-09,215.19573568394492,40.17070179178084,161.4739867778097,348.77010635240015
2015-04-10,214.81977643639613,40.50555557815771,161.4739867778097,348.77010635240015
2015-04-11,214.4462559483887,40.82707178830001,161.4739867778097,348.77010635240015
2015-04-12,214.13146561911145,41.07736630457348,161.4739867778097,348.77010635240015
2015-04-13,213.87381814697713,41.27117400660215,161.4739867778097,348.77010635240015
2015-04-14,213.83045638912841,41.29527607064726,161.4739867778097,348.77010635240015
2015-04-15,214.09026923445433,41.2251405429627,161.4739867778097,348.77010635240015
2015-04-16,214.71992334962152,41.340347981570325,161.4739867778097,348.77010635240015
2015-04-17,215.35275206796334,41.45709559146971,161.4739867778097,348.77010635240015
2015-04-18,215.50536424898596,41.40859453475691,161.4739867778097,348.77010635240015
2015-04-19,215.60009772923254,41.36949594061191,161.4739867778097,348.77010635240015
2015-04-20,215.80594232059022,41.29301682082657,161.4739867778097,348.77010635240015
2015-04-21,215.97686627702726,41.22082796542783,161.4739867778097,348.77010635240015
2015-04-22,215.77794896362303,41.38989596474944,161.4739867778097,348.77010635240015
2015-04-23,215.59087860496314,41.59566820514583,161.4739867778097,348.77010635240015
2015-04-24,215.5364057360033,41.63411608197033,161.4739867778097,348.77010635240015
2015-04-25,215.38986937498004,41.747154069321006,161.4739867778097,348.77010635240015
2015-04-26,215.12904729967107,42.01542719975216,160.92336878413337,348.77010635240015
2015-04-27,214.70546900450321,42.48045357666139,149.98959471112389,348.77010635240015
2015-04-28,214.29300182044648,42.95143972501131,147.7038804254096,348.77010635240015
2015-04-29,213.99958225543742,43.171084645535096,147.7038804254096,348.77010635240015
2015-04-30,213.60933729360292,43.3200105899855,147.7038804254096,348.77010635240015
2015-05-01,212.7042504376911,43.61144504927963,147.7038804254096,348.77010635240015
2015-05-02,211.27401633466022,43.43165933760963,147.7038804254096,348.77010635240015
2015-05-03,209.65965524750234,42.817719660606436,147.7038804254096,348.77010635240015
2015-05-04,208.28061162066192,43.146207645646115,136.78863179074446,348.77010635240015
2015-05-05,207.89038767961304,43.32900010410015,136.78863179074446,348.77010635240015
2015-05-06,207.6930930314934,43.50845150992713,136.78863179074446,348.77010635240015
2015-05-07,207.26563965321506,43.878285904497766,136.78863179074446,348.77010635240015
2015-05-08,206.7296725664231,44.246414240529504,136.78863179074446,348.77010635240015
2015-05-09,206.03819507714883,44.53486947376919,136.78863179074446,348.77010635240015
2015-05-10,205.4277691158979,44.91559387504969,136.78863179074446,348.77010635240015
2015-05-11,205.05639744672945,45.09007243667135,136.78863179074446,348.77010635240015
2015-05-12,204.24613688867208,45.43524213414059,136.78863179074446,348.77010635240015
2015-05-13,203.4356117803502,45.99840984570502,135.95529845741115,348.77010635240015
2015-05-14,202.47222766614115,46.121766043848936,135.95529845741115,348.77010635240015
2015-05-15,200.88776075887748,45.82577009605368,135.95529845741115,348.77010635240015
