Datetime,AQI
2015-01-01,217.38631790744466
2015-01-02,214.38631790744466
2015-01-03,162.55298457411135
2015-01-04,188.25449841908593
2015-01-05,189.1116412762288
2015-01-06,188.1116412762288
2015-01-07,193.1116412762288
2015-01-08,197.3973555619431
2015-01-09,196.25449841908593
2015-01-10,196.3973555619431
2015-01-11,196.82592699051452
2015-01-12,196.25449841908593
2015-01-13,194.96878413337166
2015-01-14,193.1116412762288
2015-01-15,191.25449841908593
2015-01-16,193.54021270480024
2015-01-17,194.1116412762288
2015-01-18,195.54021270480024
2015-01-19,194.3973555619431
2015-01-20,191.25449841908593
2015-01-21,190.96878413337166
2015-01-22,190.1116412762288
2015-01-23,178.96878413337166
2015-01-24,188.96878413337166
2015-01-25,190.25449841908593
2015-01-26,184.3973555619431
2015-01-27,188.1116412762288
2015-01-28,184.82592699051452
2015-01-29,195.4739867778097
2015-01-30,215.04541534923828
2015-01-31,240.04541534923828
2015-02-01,281.759701063524
2015-02-02,299.33112963495256
2015-02-03,260.9025582063812
2015-02-04,205.6168439206669
2015-02-05,177.61684392066687
2015-02-06,189.33112963495256
2015-02-07,201.18827249209542
2015-02-08,219.18827249209542
2015-02-09,205.61684392066687
2015-02-10,201.0454153492383
2015-02-11,222.04541534923828
2015-02-12,208.90255820638114
2015-02-13,240.4739867778097
2015-02-14,281.4739867778097
2015-02-15,242.61684392066687
2015-02-16,246.61684392066687
2015-02-17,234.04541534923828
2015-02-18,255.6168439206669
2015-02-19,230.18827249209542
2015-02-20,248.18827249209542
2015-02-21,327.61684392066684
2015-02-22,254.33112963495256
2015-02-23,337.18827249209545
2015-02-24,228.18827249209542
2015-02-25,209.18827249209542
2015-02-26,188.82592699051452
2015-02-27,187.68306984765738
2015-02-28,186.96878413337166
2015-03-01,188.96878413337166
2015-03-02,178.18827249209542
2015-03-03,215.18827249209542
2015-03-04,202.18827249209542
2015-03-05,269.61684392066684
2015-03-06,188.68306984765738
2015-03-07,173.54021270480024
2015-03-08,161.4739867778097
2015-03-09,180.33112963495256
2015-03-10,195.33112963495256
2015-03-11,205.18827249209542
2015-03-12,199.90255820638114
2015-03-13,197.61684392066687
2015-03-14,182.04541534923828
2015-03-15,173.759701063524
2015-03-16,162.61684392066687
2015-03-17,182.90255820638114
2015-03-18,187.04541534923828
2015-03-19,279.33112963495256
2015-03-20,254.4739867778097
2015-03-21,287.91296349525726
2015-03-22,302.7701063524001
2015-03-23,348.77010635240015
2015-03-24,274.2753089968382
2015-03-25,252.48439206668584
2015-03-26,267.56102328255247
2015-03-27,241.7038804254096
2015-03-28,241.56102328255247
2015-03-29,214.05582063811443
2015-03-30,185.62724920954295
2015-03-31,202.0662259269905
2015-04-01,210.78051164127623
2015-04-02,184.2753089968382
2015-04-03,184.98959471112389
2015-04-04,170.48439206668584
2015-04-05,188.3415349238287
2015-04-06,190.20908306984765
2015-04-07,183.78051164127623
2015-04-08,205.20908306984765
2015-04-09,195.78051164127623
2015-04-10,162.56102328255247
2015-04-11,163.20908306984765
2015-04-12,167.92336878413337
2015-04-13,171.78051164127623
2015-04-14,189.20908306984765
2015-04-15,214.6376544984191
2015-04-16,250.20908306984765
2015-04-17,251.0662259269905
2015-04-18,209.2753089968382
2015-04-19,202.92336878413337
2015-04-20,209.78051164127623
2015-04-21,206.35194021270482
2015-04-22,172.20908306984765
2015-04-23,162.13245185398105
2015-04-24,184.0662259269905
2015-04-25,177.0662259269905
2015-04-26,160.92336878413337
2015-04-27,149.98959471112389
2015-04-28,147.7038804254096
2015-04-29,169.0662259269905
2015-04-30,179.92336878413337
2015-05-01,158.58759831717578
2015-05-02,153.03863179074446
2015-05-03,154.03863179074446
2015-05-04,136.78863179074446
2015-05-05,170.49668922626668
2015-05-06,159.86032558990306
2015-05-07,150.86032558990306
2015-05-08,152.95123468081215
2015-05-09,156.95529845741115
2015-05-10,150.67850740808487
2015-05-11,167.6219651240778
2015-05-12,149.1219651240778
2015-05-13,135.95529845741115
2015-05-14,153.76941649899396
2015-05-15,138.8719651240778
2015-05-16,138.53863179074446
2015-05-17,139.70529845741115
2015-05-18,140.1219651240778
2015-05-19,146.45529845741115
2015-05-20,125.58759831717579
2015-05-21,137.7439302481556
2015-05-22,169.1219651240778
2015-05-23,126.28863179074447
2015-05-24,138.22396195353943
2015-05-25,154.86032558990306
2015-05-26,153.49668922626668
2015-05-27,147.8719651240778
2015-05-28,168.03863179074446
2015-05-29,183.95529845741112
2015-05-30,156.28863179074446
2015-05-31,130.31487104444852
2015-06-01,138.99439715214365
2015-06-02,179.44792390707883
2015-06-03,145.16059691482226
2015-06-04,131.8405509982975
2015-06-05,150.22516638291287
2015-06-06,140.68670484445133
2015-06-07,164.91747407522055
2015-06-08,160.22516638291287
2015-06-09,167.99439715214365
2015-06-10,122.91747407522055
2015-06-11,110.68670484445133
2015-06-12,154.2408953722334
2015-06-13,115.76362792137441
2015-06-14,125.91747407522055
2015-06-15,126.84055099829749
2015-06-16,138.99439715214365
2015-06-17,120.99439715214363
2015-06-18,120.1482433059898
2015-06-19,126.91747407522055
2015-06-20,115.53285869060518
2015-06-21,87.07132022906671
2015-06-22,94.84055099829749
2015-06-23,92.37901253675902
2015-06-24,117.91747407522055
2015-06-25,85.30208945983594
2015-06-26,108.53285869060518
2015-06-27,108.22516638291287
2015-06-28,107.22516638291287
2015-06-29,162.9908953722334
2015-06-30,166.8658953722334
2015-07-01,99.37901253675902
2015-07-02,110.91747407522055
2015-07-03,106.22516638291287
2015-07-04,118.53285869060518
2015-07-05,141.60978176752826
2015-07-06,130.30208945983594
2015-07-07,94.68670484445133
2015-07-08,94.53285869060518
2015-07-09,96.99439715214363
2015-07-10,93.82726358148894
2015-07-11,89.37901253675902
2015-07-12,99.2439302481556
2015-07-13,110.53256203890008
2015-07-14,131.30208945983594
2015-07-15,124.84055099829749
2015-07-16,122.1482433059898
2015-07-17,105.37901253675902
2015-07-18,100.84055099829749
2015-07-19,88.22516638291287
2015-07-20,90.60978176752825
2015-07-21,96.6454418820616
2015-07-22,94.1482433059898
2015-07-23,101.37901253675902
2015-07-24,104.1482433059898
2015-07-25,88.37901253675902
2015-07-26,80.22516638291287
2015-07-27,78.99439715214363
2015-07-28,79.84055099829749
2015-07-29,81.07132022906671
2015-07-30,82.53285869060518
2015-07-31,82.84055099829749
2015-08-01,86.37901253675902
2015-08-02,93.1482433059898
2015-08-03,90.57726358148894
2015-08-04,88.30208945983594
2015-08-05,115.4559356136821
2015-08-06,118.76362792137441
2015-08-07,96.99439715214363
2015-08-08,99.91059691482228
2015-08-09,101.30208945983594
2015-08-10,133.68670484445133
2015-08-11,113.53285869060518
2015-08-12,73.99439715214363
2015-08-13,95.07132022906671
2015-08-14,102.68670484445133
2015-08-15,110.99439715214363
2015-08-16,87.4939302481556
2015-08-17,108.41059691482228
2015-08-18,101.68670484445133
2015-08-19,90.84055099829749
2015-08-20,88.69757209926225
2015-08-21,103.81882724920955
2015-08-22,90.49757209926224
2015-08-23,83.99514419852449
2015-08-24,91.31882724920955
2015-08-25,117.23090543259558
2015-08-26,110.03090543259557
2015-08-27,110.89757209926225
2015-08-28,175.3658953722334
2015-08-29,108.63090543259558
2015-08-30,99.63090543259558
2015-08-31,82.67597010635241
2015-09-01,87.24739867778098
2015-09-02,112.09757209926224
2015-09-03,123.53311296349526
2015-09-04,126.83090543259557
2015-09-05,116.53311296349526
2015-09-06,106.39025582063812
2015-09-07,90.39025582063812
2015-09-08,123.57412165299489
2015-09-09,118.26181086519115
2015-09-10,94.31882724920955
2015-09-11,119.80489088376413
2015-09-12,116.96168439206669
2015-09-13,112.8818139606872
2015-09-14,107.80489088376413
2015-09-15,124.28863179074447
2015-09-16,125.26642934530258
2015-09-17,106.03311296349526
2015-09-18,79.0
2015-09-19,101.2
2015-09-20,107.19514419852449
2015-09-21,93.12847753185783
2015-09-22,87.0
2015-09-23,101.78571428571429
2015-09-24,97.91059691482228
2015-09-25,118.14285714285714
2015-09-26,133.13333333333333
2015-09-27,138.1642387659289
2015-09-28,152.57142857142858
2015-09-29,142.86666666666667
2015-09-30,147.23090543259556
2015-10-01,180.1875
2015-10-02,140.69757209926223
2015-10-03,160.9375
2015-10-04,136.92857142857142
2015-10-05,162.13333333333333
2015-10-06,190.75
2015-10-07,201.0625
2015-10-08,198.26666666666668
2015-10-09,191.13333333333333
2015-10-10,149.09147384305834
2015-10-11,157.6759701063524
2015-10-12,143.5642387659289
2015-10-13,148.96423876592888
2015-10-14,149.53311296349526
2015-10-15,155.52897384305834
2015-10-16,186.86666666666667
2015-10-17,174.4
2015-10-18,199.25
2015-10-19,195.09147384305834
2015-10-20,233.23090543259556
2015-10-21,208.43090543259555
2015-10-22,205.1829476861167
2015-10-23,197.84615384615384
2015-10-24,235.57142857142858
2015-10-25,215.1759701063524
2015-10-26,244.4
2015-10-27,200.63090543259557
2015-10-28,208.2
2015-10-29,150.91666666666666
2015-10-30,153.4
2015-10-31,189.53333333333333
2015-11-01,208.96423876592888
2015-11-02,196.77897384305834
2015-11-03,217.1875
2015-11-04,215.02897384305834
